Episode: 55 || Reward: 124.35 || Actor Loss: -120.14 || Critic Loss: 2.76 || Log Prob: -32.81 || Alpha: 0.41 || Time/Update: 6.87ms || Total Steps: 8525 || Song: twinkle_twinkle_little_star
Episode: 56 || Reward: 127.89 || Actor Loss: -118.73 || Critic Loss: 2.72 || Log Prob: -32.81 || Alpha: 0.4 || Time/Update: 6.66ms || Total Steps: 8680 || Song: twinkle_twinkle_little_star
Episode: 57 || Reward: 114.92 || Actor Loss: -117.14 || Critic Loss: 2.65 || Log Prob: -32.81 || Alpha: 0.38 || Time/Update: 6.51ms || Total Steps: 8835 || Song: twinkle_twinkle_little_star
Episode: 58 || Reward: 116.53 || Actor Loss: -115.39 || Critic Loss: 2.63 || Log Prob: -32.81 || Alpha: 0.37 || Time/Update: 6.76ms || Total Steps: 8990 || Song: twinkle_twinkle_little_star
Episode: 59 || Reward: 120.72 || Actor Loss: -113.52 || Critic Loss: 2.54 || Log Prob: -32.8 || Alpha: 0.36 || Time/Update: 6.98ms || Total Steps: 9145 || Song: twinkle_twinkle_little_star
Episode: 60 || Reward: 111.9 || Actor Loss: -111.57 || Critic Loss: 2.51 || Log Prob: -32.79 || Alpha: 0.35 || Time/Update: 6.8ms || Total Steps: 9300 || Song: twinkle_twinkle_little_star
Episode: 61 || Reward: 126.12 || Actor Loss: -109.5 || Critic Loss: 2.44 || Log Prob: -32.79 || Alpha: 0.33 || Time/Update: 6.69ms || Total Steps: 9455 || Song: twinkle_twinkle_little_star
Episode: 62 || Reward: 123.76 || Actor Loss: -107.32 || Critic Loss: 2.36 || Log Prob: -32.77 || Alpha: 0.32 || Time/Update: 6.74ms || Total Steps: 9610 || Song: twinkle_twinkle_little_star
Episode: 63 || Reward: 134.19 || Actor Loss: -105.1 || Critic Loss: 2.34 || Log Prob: -32.75 || Alpha: 0.31 || Time/Update: 6.88ms || Total Steps: 9765 || Song: twinkle_twinkle_little_star
Episode: 64 || Reward: 110.88 || Actor Loss: -102.82 || Critic Loss: 2.22 || Log Prob: -32.76 || Alpha: 0.3 || Time/Update: 6.74ms || Total Steps: 9920 || Song: twinkle_twinkle_little_star
Episode: 65 || Reward: 114.33 || Actor Loss: -100.55 || Critic Loss: 2.16 || Log Prob: -32.75 || Alpha: 0.29 || Time/Update: 6.72ms || Total Steps: 10075 || Song: twinkle_twinkle_little_star
Validation Episode:
  Song: twinkle_twinkle_little_star, Reward: 183.23, F1: 0.0, Precision: 0.0, Recall: 0.0
Episode: 66 || Reward: 117.03 || Actor Loss: -98.24 || Critic Loss: 2.08 || Log Prob: -32.73 || Alpha: 0.28 || Time/Update: 6.72ms || Total Steps: 10230 || Song: twinkle_twinkle_little_star
Episode: 67 || Reward: 123.66 || Actor Loss: -95.92 || Critic Loss: 2.0 || Log Prob: -32.72 || Alpha: 0.27 || Time/Update: 6.81ms || Total Steps: 10385 || Song: twinkle_twinkle_little_star
Episode: 68 || Reward: 121.27 || Actor Loss: -93.6 || Critic Loss: 1.97 || Log Prob: -32.72 || Alpha: 0.26 || Time/Update: 7.01ms || Total Steps: 10540 || Song: twinkle_twinkle_little_star
Episode: 69 || Reward: 107.47 || Actor Loss: -91.27 || Critic Loss: 1.86 || Log Prob: -32.71 || Alpha: 0.25 || Time/Update: 6.88ms || Total Steps: 10695 || Song: twinkle_twinkle_little_star
Episode: 70 || Reward: 115.86 || Actor Loss: -88.96 || Critic Loss: 1.77 || Log Prob: -32.7 || Alpha: 0.24 || Time/Update: 6.82ms || Total Steps: 10850 || Song: twinkle_twinkle_little_star
Episode: 71 || Reward: 119.67 || Actor Loss: -86.64 || Critic Loss: 1.73 || Log Prob: -32.7 || Alpha: 0.23 || Time/Update: 6.78ms || Total Steps: 11005 || Song: twinkle_twinkle_little_star
Episode: 72 || Reward: 129.02 || Actor Loss: -84.37 || Critic Loss: 1.64 || Log Prob: -32.69 || Alpha: 0.23 || Time/Update: 6.84ms || Total Steps: 11160 || Song: twinkle_twinkle_little_star
Episode: 73 || Reward: 130.61 || Actor Loss: -82.14 || Critic Loss: 1.58 || Log Prob: -32.69 || Alpha: 0.22 || Time/Update: 6.96ms || Total Steps: 11315 || Song: twinkle_twinkle_little_star
Episode: 74 || Reward: 119.51 || Actor Loss: -79.92 || Critic Loss: 1.51 || Log Prob: -32.67 || Alpha: 0.21 || Time/Update: 6.88ms || Total Steps: 11470 || Song: twinkle_twinkle_little_star
Episode: 75 || Reward: 125.53 || Actor Loss: -77.76 || Critic Loss: 1.43 || Log Prob: -32.63 || Alpha: 0.2 || Time/Update: 6.76ms || Total Steps: 11625 || Song: twinkle_twinkle_little_star
Episode: 76 || Reward: 119.15 || Actor Loss: -75.63 || Critic Loss: 1.38 || Log Prob: -32.62 || Alpha: 0.2 || Time/Update: 6.8ms || Total Steps: 11780 || Song: twinkle_twinkle_little_star
Episode: 77 || Reward: 132.96 || Actor Loss: -73.52 || Critic Loss: 1.31 || Log Prob: -32.61 || Alpha: 0.19 || Time/Update: 6.71ms || Total Steps: 11935 || Song: twinkle_twinkle_little_star
Episode: 78 || Reward: 125.46 || Actor Loss: -71.46 || Critic Loss: 1.26 || Log Prob: -32.59 || Alpha: 0.18 || Time/Update: 6.74ms || Total Steps: 12090 || Song: twinkle_twinkle_little_star
Episode: 79 || Reward: 123.78 || Actor Loss: -69.47 || Critic Loss: 1.21 || Log Prob: -32.55 || Alpha: 0.18 || Time/Update: 6.67ms || Total Steps: 12245 || Song: twinkle_twinkle_little_star
