Model not loaded: instantiating new model
Replay buffer not loaded
Episode: 1 || Reward: 200.02357571810623 || Warmup Episode: No Update Statistics || Total Steps: 549
Episode: 2 || Reward: 187.09936619686093 || Warmup Episode: No Update Statistics || Total Steps: 1098
Episode: 3 || Reward: 184.315444284037 || Warmup Episode: No Update Statistics || Total Steps: 1647
Episode: 4 || Reward: 145.62018491794603 || Warmup Episode: No Update Statistics || Total Steps: 2196
Episode: 5 || Reward: 182.75576672069917 || Warmup Episode: No Update Statistics || Total Steps: 2745
Episode: 6 || Reward: 169.95559259665546 || Warmup Episode: No Update Statistics || Total Steps: 3294
Episode: 7 || Reward: 178.19324701444796 || Warmup Episode: No Update Statistics || Total Steps: 3843
Episode: 8 || Reward: 145.525461526755 || Warmup Episode: No Update Statistics || Total Steps: 4392
Episode: 9 || Reward: 187.54258674552494 || Warmup Episode: No Update Statistics || Total Steps: 4941
Episode: 10 || Reward: 209.0631439420413 || Warmup Episode: No Update Statistics || Total Steps: 5490
Episode: 32 || Reward: 356.779616940135 || Actor Loss: -27.8603572845459 || Critic Loss: 0.24546146392822266 || Log Prob: -30.517335891723633 || Alpha: 0.0643344298005104 || Time/Update: 15.75ms || Total Steps: 17568
Episode: 33 || Reward: 363.4800339134705 || Actor Loss: -25.279983520507812 || Critic Loss: 0.20984351634979248 || Log Prob: -30.115436553955078 || Alpha: 0.05700143426656723 || Time/Update: 16.53ms || Total Steps: 18117
Episode: 34 || Reward: 395.1263789244913 || Actor Loss: -23.025005340576172 || Critic Loss: 0.17506499588489532 || Log Prob: -29.627212524414062 || Alpha: 0.05051441118121147 || Time/Update: 20.06ms || Total Steps: 18666
Episode: 35 || Reward: 385.53912790134655 || Actor Loss: -21.044673919677734 || Critic Loss: 0.14741826057434082 || Log Prob: -28.977155685424805 || Alpha: 0.04478374123573303 || Time/Update: 20.06ms || Total Steps: 19215
Episode: 36 || Reward: 403.699285861891 || Actor Loss: -19.31564712524414 || Critic Loss: 0.12483451515436172 || Log Prob: -28.348678588867188 || Alpha: 0.03971711918711662 || Time/Update: 20.07ms || Total Steps: 19764
Episode: 37 || Reward: 426.71992271898716 || Actor Loss: -17.797027587890625 || Critic Loss: 0.1072520837187767 || Log Prob: -27.62807273864746 || Alpha: 0.035237688571214676 || Time/Update: 20.09ms || Total Steps: 20313
Episode: 38 || Reward: 693.9408438913907 || Validation Episode - F1: 0.03383458646616542, Precision: 0.21951219512195122, Recall: 0.018329938900203666 || Total Steps: 20862
Episode: 39 || Reward: 429.407045724804 || Actor Loss: -16.47362518310547 || Critic Loss: 0.09135456383228302 || Log Prob: -26.757503509521484 || Alpha: 0.03127781301736832 || Time/Update: 13.59ms || Total Steps: 21411
Episode: 40 || Reward: 439.0388546410339 || Actor Loss: -15.319520950317383 || Critic Loss: 0.08011653274297714 || Log Prob: -25.784101486206055 || Alpha: 0.027778372168540955 || Time/Update: 13.59ms || Total Steps: 21960
Episode: 41 || Reward: 427.48845713068226 || Actor Loss: -14.315265655517578 || Critic Loss: 0.07062004506587982 || Log Prob: -24.643310546875 || Alpha: 0.024690238758921623 || Time/Update: 11.16ms || Total Steps: 22509
Episode: 42 || Reward: 454.30969862604667 || Actor Loss: -13.424751281738281 || Critic Loss: 0.06254720687866211 || Log Prob: -23.67695426940918 || Alpha: 0.021952809765934944 || Time/Update: 7.38ms || Total Steps: 23058
Episode: 43 || Reward: 487.160756759903 || Actor Loss: -12.672968864440918 || Critic Loss: 0.05748608708381653 || Log Prob: -22.201980590820312 || Alpha: 0.01953418180346489 || Time/Update: 7.33ms || Total Steps: 23607
Episode: 44 || Reward: 484.6331180074807 || Actor Loss: -12.028850555419922 || Critic Loss: 0.05178811773657799 || Log Prob: -20.617467880249023 || Alpha: 0.01740293577313423 || Time/Update: 7.28ms || Total Steps: 24156
Episode: 45 || Reward: 508.8768982600943 || Actor Loss: -11.49632453918457 || Critic Loss: 0.047138337045907974 || Log Prob: -18.633140563964844 || Alpha: 0.015527008101344109 || Time/Update: 7.19ms || Total Steps: 24705
Episode: 46 || Reward: 522.7099901988723 || Actor Loss: -11.063612937927246 || Critic Loss: 0.04391786828637123 || Log Prob: -16.656946182250977 || Alpha: 0.013876340351998806 || Time/Update: 7.28ms || Total Steps: 25254
Episode: 47 || Reward: 512.8915490288325 || Actor Loss: -10.704179763793945 || Critic Loss: 0.0418798103928566 || Log Prob: -14.664916038513184 || Alpha: 0.012418026104569435 || Time/Update: 7.27ms || Total Steps: 25803
Episode: 48 || Reward: 512.6661132970036 || Actor Loss: -10.410943984985352 || Critic Loss: 0.039905257523059845 || Log Prob: -12.359485626220703 || Alpha: 0.01112800370901823 || Time/Update: 7.22ms || Total Steps: 26352
Episode: 49 || Reward: 541.3191660015409 || Actor Loss: -10.173487663269043 || Critic Loss: 0.03840469941496849 || Log Prob: -10.041853904724121 || Alpha: 0.00999013427644968 || Time/Update: 7.27ms || Total Steps: 26901
Episode: 50 || Reward: 532.8754950056502 || Actor Loss: -9.997384071350098 || Critic Loss: 0.037738583981990814 || Log Prob: -7.462664604187012 || Alpha: 0.008988243527710438 || Time/Update: 7.25ms || Total Steps: 27450
Episode: 51 || Reward: 522.7119172990367 || Actor Loss: -9.856696128845215 || Critic Loss: 0.037993960082530975 || Log Prob: -5.12529993057251 || Alpha: 0.008103189058601856 || Time/Update: 7.38ms || Total Steps: 27999
Episode: 52 || Reward: 556.7950662779376 || Actor Loss: -9.741284370422363 || Critic Loss: 0.03637949749827385 || Log Prob: -2.9098994731903076 || Alpha: 0.007314504124224186 || Time/Update: 7.45ms || Total Steps: 28548
Episode: 53 || Reward: 538.4351232850814 || Actor Loss: -9.653078079223633 || Critic Loss: 0.036528389900922775 || Log Prob: -0.7218852043151855 || Alpha: 0.006611828692257404 || Time/Update: 7.4ms || Total Steps: 29097
Episode: 54 || Reward: 559.3104847037916 || Actor Loss: -9.586762428283691 || Critic Loss: 0.03452571481466293 || Log Prob: 1.947608232498169 || Alpha: 0.005989477038383484 || Time/Update: 7.45ms || Total Steps: 29646
Episode: 55 || Reward: 570.2160827958108 || Actor Loss: -9.548881530761719 || Critic Loss: 0.03424680978059769 || Log Prob: 4.252450942993164 || Alpha: 0.005443304777145386 || Time/Update: 7.33ms || Total Steps: 30195
Episode: 56 || Reward: 630.5068380497901 || Validation Episode - F1: 0.015825914935707217, Precision: 0.27586206896551724, Recall: 0.008146639511201629 || Total Steps: 30744
Episode: 57 || Reward: 575.6145027176001 || Actor Loss: -9.5244722366333 || Critic Loss: 0.03420206531882286 || Log Prob: 6.57582950592041 || Alpha: 0.004959726706147194 || Time/Update: 7.26ms || Total Steps: 31293
Episode: 58 || Reward: 577.6591519216371 || Actor Loss: -9.520816802978516 || Critic Loss: 0.03392410650849342 || Log Prob: 9.214186668395996 || Alpha: 0.004536097403615713 || Time/Update: 7.46ms || Total Steps: 31842
Episode: 59 || Reward: 593.9048943384917 || Actor Loss: -9.534756660461426 || Critic Loss: 0.03365536034107208 || Log Prob: 11.685426712036133 || Alpha: 0.004169674124568701 || Time/Update: 7.41ms || Total Steps: 32391
Episode: 60 || Reward: 597.4656744737704 || Actor Loss: -9.558533668518066 || Critic Loss: 0.03337578475475311 || Log Prob: 13.992794036865234 || Alpha: 0.003857315517961979 || Time/Update: 7.3ms || Total Steps: 32940
Episode: 61 || Reward: 604.1285207378365 || Actor Loss: -9.61124038696289 || Critic Loss: 0.03384946659207344 || Log Prob: 16.110973358154297 || Alpha: 0.0035888554994016886 || Time/Update: 7.29ms || Total Steps: 33489
Episode: 62 || Reward: 606.8756526158714 || Actor Loss: -9.645830154418945 || Critic Loss: 0.03335297107696533 || Log Prob: 17.540796279907227 || Alpha: 0.003353431820869446 || Time/Update: 7.32ms || Total Steps: 34038
